FoodID,FoodName,ServingSize,Carbs(g),Fat(g),Protein(g),Total Calories(Cal),Category,Ingredients,Image,Type,Veg_NonVeg
1,Banana Pancake,1 piece,24,4,8,167,Nepali,"1 cup all-purpose flour,1 ripe banana mashed,1 cup milk,1 egg, 2 tablespoons sugar,1 teaspoon baking powder,Pinch of salt,Butter or oil for cooking",https://meaningfuleats.com/wp-content/uploads/2014/06/banana-oatmeal-pancakes.jpg,Breakfast,Veg
2,Veggie Momo,10 pieces,6,2,1,200,Nepali,"1 cup all-purpose flour
Water for kneading
1 cup mixed vegetables (cabbage, carrot, bell peppers, etc.), finely chopped
1 small onion, finely chopped
2 cloves garlic, minced
1-inch piece ginger, minced
1 tablespoon vegetable oil
Salt and pepper to taste
Soy sauce for serving
",https://c.ndtvimg.com/2022-07/9lta8l_veg-momo_120x90_06_July_22.png?downsize=200:155,Snack,Veg
3,Daal Bhhat Tarkari,2 cups,66,2,15,367,Nepali,"1 cup red lentils (masoor dal)
4 cups water
1 small onion, finely chopped
2 cloves garlic, minced
1-inch piece ginger, minced
1 tomato, chopped
1 teaspoon turmeric powder
1 teaspoon cumin seeds
1 tablespoon vegetable oil
Salt to taste
1 cup Basmati rice
2 cups waterAssorted vegetables (potato, carrot, cauliflower, green beans, etc.), chopped
1 small onion, finely chopped
2 cloves garlic, minced
1-inch piece ginger, minced
2 tomatoes, chopped
1 teaspoon turmeric powder
1 teaspoon cumin powder
1 teaspoon coriander powder
1 tablespoon vegetable oil
Salt to taste
Water as needed",https://media.gettyimages.com/id/1373260184/photo/nepali-dal-bhat-tarkari-patan-durbar-square-lalitpur-nepal.jpg?s=612x612&w=0&k=20&c=ETmyqRmDF1p3OH5g2hutyPhTSklxP0eK_bbWizAOEAc=,Dinner,Veg
4,Selroti,1 piece,12,8.4,0.6,123,Nepali,"2 cups rice flour
1 cup powdered sugar
1 ripe banana, mashed
1/2 cup yogurt
1/2 teaspoon baking powder
A pinch of cardamom powder
Vegetable oil for deep frying
",https://washburnreview.org/wp-content/uploads/2023/03/sel-roti.jpeg, Breakfast,Veg
5,Onion Pakoda,100g,26,14,9,266,Nepali,"1 cup chickpea flour (besan)
1 large onion, thinly sliced
1 green chili, finely chopped (optional)
1 teaspoon cumin seeds
A pinch of baking soda (optional)
1/2 teaspoon red chili powder
1/2 teaspoon turmeric powder
Salt to taste
Water as needed
Vegetable oil for deep frying",https://media.gettyimages.com/id/1052745482/photo/veggie-pakora.jpg?s=612x612&w=0&k=20&c=q4qLdsDSBLfSyJo46bJEZhnIuSygByJ2E5Q3S8xwu0U=,Snack,Veg
6,Bara,1 piece,19.3,5.2,3.8,138,Nepali,"1 cup black lentils (urad dal), soaked overnight
1 small onion, finely chopped
2 green chilies, finely chopped
2 cloves garlic, minced
1-inch piece ginger, minced
1/2 teaspoon cumin powder
1/2 teaspoon turmeric powder
1/2 teaspoon red chili powder
Salt to taste
Vegetable oil for shallow frying","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/52/71/73/5M1NG6h3SIKGKlhhKM9f_Nepali%2520Bara.jpg",Snack,Veg
7,Chowmein,75g,56,10,10,260,Nepali,"200g  noodles
2 tablespoons vegetable oil
1 small onion, thinly sliced
1 cup mixed vegetables (carrots, cabbage, bell peppers, etc.), julienned
2 cloves garlic, minced
2 tablespoons soy sauce
1 tablespoon oyster sauce
Salt and pepper to taste
Green onions for garnish (optional)",https://media.gettyimages.com/id/184317874/photo/beef-broccoli-chow-mein.jpg?s=612x612&w=0&k=20&c=9be_amD3HYfFBiFhQxeb-AvHDFE4_e_8q_IRAusJ4TY=, Dinner,Veg
8,Noodles,106g,24.9,3.1,10,234,Nepali,"200g egg noodles or any noodles of your choice
2 tablespoons vegetable oil
1 small onion, thinly sliced
1 cup mixed vegetables (carrots, cabbage, bell peppers, etc.), julienned
2 cloves garlic, minced
2 tablespoons soy sauce
1 tablespoon oyster sauce
Salt and pepper to taste
Green onions for garnish (optional)",https://media.gettyimages.com/id/1183748291/photo/spaghetti-bolognese.jpg?s=612x612&w=0&k=20&c=6C1hQBNfStq9bA8AOoHUhMgGZ_1JpNPJ-9n9PbMTZgk=,Dinner,Veg
9,Chicken Momo,10 pieces,70,30,50,710,Nepali,"250g minced chicken
1 small onion, finely chopped
2 cloves garlic, minced
1-inch piece ginger, minced
1 tablespoon vegetable oil
1/2 teaspoon cumin powder
1/2 teaspoon coriander powder
1/2 teaspoon garam masala
Salt and pepper to taste
Chopped cilantro for garnish (optional)",https://media.gettyimages.com/id/1341504203/photo/fried-momos-dumpling.jpg?s=612x612&w=0&k=20&c=mCUGBqUZw1M7Eu8Bh232by22Q5xKuhJkPG1h6BenbRs=,Snack,Non-Veg
10,Chicken Curry,100g,13,5,26,165,Nepali,"500g chicken pieces, cleaned and washed
2 tablespoons vegetable oil
1 large onion, finely chopped
2 tomatoes, chopped
2 cloves garlic, minced
1-inch piece ginger, minced
1 teaspoon cumin powder
1 teaspoon coriander powder
1/2 teaspoon turmeric powder
1/2 teaspoon red chili powder (adjust to your spice preference)
1/2 teaspoon garam masala
Salt to taste
Fresh cilantro for garnish (optional)",https://media.gettyimages.com/id/1415994593/photo/chicken-curry.jpg?s=612x612&w=0&k=20&c=QQsCGCC22fuuM_KpiLio-drGgVCDwUPcFcm5CJuyMxc=,Dinner,Non-Veg
